;titles;years;category
443;Achieving human parity on automatic chinese to english news translation; 2018 ;Image-to-Image Translation
444;Retinal imaging and image analysis; 2010 ;Image-to-Image Translation
445;Scene text extraction and translation for handheld devices; 2001 ;Image-to-Image Translation
446;elastix: A Toolbox for Intensity-Based Medical Image Registration; 2009 ;Image-to-Image Translation
447;Cycle-consistent GAN-based stain translation of renal pathology images with glomerulus detection application; 2021 ;Image-to-Image Translation
448;Image-based visual servo control of the translation kinematics of a quadrotor aerial vehicle; 2009 ;Image-to-Image Translation
449;Endogenous convolutional sparse representations for translation invariant image subspace models; 2014 ;Image-to-Image Translation
450;What is translation?; 2012 ;Image-to-Image Translation
451;Review of shape representation and description techniques; 2004 ;Image-to-Image Translation
452;Photobook: Tools for content-based manipulation of image databases; 1994 ;Image-to-Image Translation
453;Fundamental limits of reconstruction-based superresolution algorithms under local translation; 2004 ;Image-to-Image Translation
454;[LIVRE] Translation translation;S Petrilli ;Image-to-Image Translation
455;Optimal motion control for image-based visual servoing by decoupling translation and rotation; 1998 ;Image-to-Image Translation
456;[HTML] Text2Sign: towards sign language production using neural machine translation and generative adversarial networks; 2020 ;Image-to-Image Translation
457;Translation of 1d inverse fourier transform of k-space to an image based on deep learning for accelerating magnetic resonance imaging; 2018 ;Image-to-Image Translation
458;Real-time Malaysian sign language translation using colour segmentation and neural network; 2007 ;Image-to-Image Translation
459;Sign Language Translation; 2020 ;Image-to-Image Translation
460;Rotation, scaling and translation invariant image watermarking using feature points; 2008 ;Image-to-Image Translation
461;Painting completion with generative translation models; 2020 ;Image-to-Image Translation
462;Batch-instance normalization for adaptively style-invariant neural networks; 2018 ;Image-to-Image Translation
463;What is 'translation'?; 2009 ;Image-to-Image Translation
464;Translation and validation of body image instruments: Challenges, good practice guidelines, and reporting recommendations for test adaptation; 2019 ;Image-to-Image Translation
465;Translation-aware semantic segmentation via conditional least-square generative adversarial networks; 2017 ;Image-to-Image Translation
466;3D skeleton based action recognition by video-domain translation-scale invariant mapping and multi-scale dilated CNN; 2018 ;Image-to-Image Translation
467;Unsupervised multi-modal neural machine translation; 2019 ;Image-to-Image Translation
468;Findings of the second shared task on multimodal machine translation and multilingual image description; 2017 ;Image-to-Image Translation
469;Unsupervised dialectal neural machine translation; 2020 ;Image-to-Image Translation
470;IMAGES OF TRANSLATION: Metaphor and Imagery in the Renai ssance Discourse on Translation; 2014 ;Image-to-Image Translation
471;Reduction of eddy‐current‐induced distortion in diffusion MRI using a twice‐refocused spin echo; 2003 ;Image-to-Image Translation
472;Reliable feature matching across widely separated views; 2000 ;Image-to-Image Translation
473;A respiratory self‐gating technique with 3D‐translation compensation for free‐breathing whole‐heart coronary MRA; 2009 ;Image-to-Image Translation
474;Robust rotation and translation estimation in multiview reconstruction; 2007 ;Image-to-Image Translation
475;Biblical archaeology helps the translator; 1980 ;Image-to-Image Translation
476;The plurisemiotics of pop song translation: Words, music, voice and image; 2005 ;Image-to-Image Translation
477;Image analysis using mathematical morphology; 1987 ;Image-to-Image Translation
478;Automatic visual to tactile translation. II. Evaluation of the TACTile image creation system; 1997 ;Image-to-Image Translation
479;Application and translation of artificial intelligence to cardiovascular imaging in nuclear medicine and noncontrast CT; 2020 ;Image-to-Image Translation
480;LaT: Latent Translation with Cycle-Consistency for Video-Text Retrieval; 2022 ;Image-to-Image Translation
481;Fine-tuning by curriculum learning for non-autoregressive neural machine translation; 2020 ;Image-to-Image Translation
482;Translation-and rotation-invariant multiscale image registration; 2002 ;Image-to-Image Translation
483;QIN benchmarks for clinical translation of quantitative imaging tools; 2019 ;Image-to-Image Translation
484;Stackgan: Text to photo-realistic image synthesis with stacked generative adversarial networks; 2017 ;Image-to-Image Translation
485;[PDF] Lexical translation with application to image searching on the web; 2007 ;Image-to-Image Translation
486;Show and tell: A neural image caption generator; 2015 ;Image-to-Image Translation
487;Deep visual domain adaptation: A survey; 2018 ;Image-to-Image Translation
488;Audiovisual translation comes of age; 2008 ;Image-to-Image Translation
489;Algorithm for processing high definition images for food colourimetry; 2020 ;Image-to-Image Translation
490;Does multimodality help human and machine for translation and image captioning?; 2016 ;Image-to-Image Translation
491;Spatial normalization of brain images with focal lesions using cost function masking; 2001 ;Image-to-Image Translation
492;Characterizing responses of translation-invariant neurons to natural stimuli: maximally informative invariant dimensions; 2012 ;Image-to-Image Translation
493;M2m: Imbalanced classification via major-to-minor translation; 2020 ;Image-to-Image Translation
494;Change in Translation and the Image of the Translator; 1997 ;Image-to-Image Translation
495;Image matching for translation, rotation and uniform scaling by the radon transform; 1998 ;Image-to-Image Translation
496;[PDF] Pyramidal implementation of the affine lucas kanade feature tracker description of the algorithm; 2001 ;Image-to-Image Translation
497;[CITATION] The Translation Invariant Wavelet-based Contourlet Transform for Image Denoising.; 2012 ;Image-to-Image Translation
498;The image of translation in science fiction & astronomy; 1996 ;Image-to-Image Translation
499;Metaphor in translation; 2016 ;Image-to-Image Translation
0;Generative adversarial networks: An overview; 2018 ;Generative Adversarial Networks
1;Generative adversarial networks: introduction and outlook; 2017 ;Generative Adversarial Networks
2;Generative adversarial networks; 2020 ;Generative Adversarial Networks
3;Unrolled generative adversarial networks; 2016 ;Generative Adversarial Networks
4;A review on generative adversarial networks: Algorithms, theory, and applications; 2021 ;Generative Adversarial Networks
5;Coupled generative adversarial networks; 2016 ;Generative Adversarial Networks
6;Least squares generative adversarial networks; 2017 ;Generative Adversarial Networks
7;Towards principled methods for training generative adversarial networks; 2017 ;Generative Adversarial Networks
8;A style-based generator architecture for generative adversarial networks; 2019 ;Generative Adversarial Networks
9;Began: Boundary equilibrium generative adversarial networks; 2017 ;Generative Adversarial Networks
10;Spectral normalization for generative adversarial networks; 2018 ;Generative Adversarial Networks
11;"On the"" steerability"" of generative adversarial networks"; 2019 ;Generative Adversarial Networks
12;Time-series generative adversarial networks; 2019 ;Generative Adversarial Networks
13;Nips 2016 tutorial: Generative adversarial networks; 2016 ;Generative Adversarial Networks
14;Generative adversarial network in medical imaging: A review; 2019 ;Generative Adversarial Networks
15;Training generative adversarial networks with limited data; 2020 ;Generative Adversarial Networks
16;Self-attention generative adversarial networks; 2019 ;Generative Adversarial Networks
17;Data augmentation generative adversarial networks; 2017 ;Generative Adversarial Networks
18;Cartoongan: Generative adversarial networks for photo cartoonization; 2018 ;Generative Adversarial Networks
19;Evolutionary generative adversarial networks; 2019 ;Generative Adversarial Networks
20;[HTML] Generative adversarial network: An overview of theory and applications; 2021 ;Generative Adversarial Networks
21;Alias-free generative adversarial networks; 2021 ;Generative Adversarial Networks
22;Steganographic generative adversarial networks; 2020 ;Generative Adversarial Networks
23;Energy-based generative adversarial network; 2016 ;Generative Adversarial Networks
24;Stacked generative adversarial networks; 2017 ;Generative Adversarial Networks
25;Generative adversarial networks; 2018 ;Generative Adversarial Networks
26;Quantum generative adversarial networks; 2018 ;Generative Adversarial Networks
27;Wasserstein generative adversarial networks; 2017 ;Generative Adversarial Networks
28;Esrgan: Enhanced super-resolution generative adversarial networks; 2018 ;Generative Adversarial Networks
29;Semi-supervised learning with generative adversarial networks; 2016 ;Generative Adversarial Networks
30;Mode regularized generative adversarial networks; 2016 ;Generative Adversarial Networks
31;Unsupervised representation learning with deep convolutional generative adversarial networks; 2015 ;Generative Adversarial Networks
32;Triangle generative adversarial networks; 2017 ;Generative Adversarial Networks
33;A review: generative adversarial networks; 2019 ;Generative Adversarial Networks
34;Comparative study on generative adversarial networks; 2018 ;Generative Adversarial Networks
35;How generative adversarial networks and their variants work: An overview; 2019 ;Generative Adversarial Networks
36;Boundless: Generative adversarial networks for image extension; 2019 ;Generative Adversarial Networks
37;Data synthesis based on generative adversarial networks; 2018 ;Generative Adversarial Networks
38;Learning to discover cross-domain relations with generative adversarial networks; 2017 ;Generative Adversarial Networks
39;Generative adversarial networks: A survey toward private and secure applications; 2021 ;Generative Adversarial Networks
40;Face aging with conditional generative adversarial networks; 2017 ;Generative Adversarial Networks
41;Generate to adapt: Aligning domains using generative adversarial networks; 2018 ;Generative Adversarial Networks
42;Image de-raining using a conditional generative adversarial network; 2019 ;Generative Adversarial Networks
43;Generative adversarial networks in computer vision: A survey and taxonomy; 2021 ;Generative Adversarial Networks
44;SEGAN: Speech enhancement generative adversarial network; 2017 ;Generative Adversarial Networks
45;Pacgan: The power of two samples in generative adversarial networks; 2018 ;Generative Adversarial Networks
46;A survey on generative adversarial networks: Variants, applications, and training; 2021 ;Generative Adversarial Networks
47;Deligan: Generative adversarial networks for diverse and limited data; 2017 ;Generative Adversarial Networks
48;Consistency regularization for generative adversarial networks; 2019 ;Generative Adversarial Networks
49;Variational approaches for auto-encoding generative adversarial networks; 2017 ;Generative Adversarial Networks
50;Automatic steganographic distortion learning using a generative adversarial network; 2017 ;Generative Adversarial Networks
51;Multi-agent diverse generative adversarial networks; 2018 ;Generative Adversarial Networks
52;Melgan: Generative adversarial networks for conditional waveform synthesis; 2019 ;Generative Adversarial Networks
53;Stabilizing training of generative adversarial networks through regularization; 2017 ;Generative Adversarial Networks
54;Improving generalization and stability of generative adversarial networks; 2019 ;Generative Adversarial Networks
55;Boundary-seeking generative adversarial networks; 2017 ;Generative Adversarial Networks
56;Structured generative adversarial networks; 2017 ;Generative Adversarial Networks
57;f-AnoGAN: Fast unsupervised anomaly detection with generative adversarial networks; 2019 ;Generative Adversarial Networks
58;Ranksrgan: Generative adversarial networks with ranker for image super-resolution; 2019 ;Generative Adversarial Networks
59;Autogan-distiller: Searching to compress generative adversarial networks; 2020 ;Generative Adversarial Networks
60;Recent advances of generative adversarial networks in computer vision; 2018 ;Generative Adversarial Networks
61;An empirical study on evaluation metrics of generative adversarial networks; 2018 ;Generative Adversarial Networks
62;Slimmable generative adversarial networks; 2021 ;Generative Adversarial Networks
63;Stackgan++: Realistic image synthesis with stacked generative adversarial networks; 2018 ;Generative Adversarial Networks
64;Fairgan: Fairness-aware generative adversarial networks; 2018 ;Generative Adversarial Networks
65;Efficient geometry-aware 3D generative adversarial networks; 2022 ;Generative Adversarial Networks
66;The theoretical research of generative adversarial networks: an overview; 2021 ;Generative Adversarial Networks
67;Sgan: An alternative training of generative adversarial networks; 2018 ;Generative Adversarial Networks
68;Recent progress on generative adversarial networks (GANs): A survey; 2019 ;Generative Adversarial Networks
69;A variational inequality perspective on generative adversarial networks; 2018 ;Generative Adversarial Networks
70;Inverting the generator of a generative adversarial network; 2018 ;Generative Adversarial Networks
71;Unsupervised anomaly detection with generative adversarial networks to guide marker discovery; 2017 ;Generative Adversarial Networks
72;Generative adversarial networks for extreme learned image compression; 2019 ;Generative Adversarial Networks
73;Clustergan: Latent space clustering in generative adversarial networks; 2019 ;Generative Adversarial Networks
74;Diversity-sensitive conditional generative adversarial networks; 2019 ;Generative Adversarial Networks
75;Entangling quantum generative adversarial networks; 2022 ;Generative Adversarial Networks
76;A u-net based discriminator for generative adversarial networks; 2020 ;Generative Adversarial Networks
77;Connecting generative adversarial networks and actor-critic methods; 2016 ;Generative Adversarial Networks
78;Adversarial variational bayes: Unifying variational autoencoders and generative adversarial networks; 2017 ;Generative Adversarial Networks
79;[PDF] Visualizing and understanding generative adversarial networks; 2019 ;Generative Adversarial Networks
80;Social gan: Socially acceptable trajectories with generative adversarial networks; 2018 ;Generative Adversarial Networks
81;[PDF] Towards understanding the dynamics of generative adversarial networks; 2017 ;Generative Adversarial Networks
82;[HTML] Generative adversarial networks and its applications in biomedical informatics; 2020 ;Generative Adversarial Networks
83;Modular generative adversarial networks; 2018 ;Generative Adversarial Networks
84;Megapixel size image creation using generative adversarial networks; 2017 ;Generative Adversarial Networks
85;Misgan: Learning from incomplete data with generative adversarial networks; 2019 ;Generative Adversarial Networks
86;Towards the automatic anime characters creation with generative adversarial networks; 2017 ;Generative Adversarial Networks
87;Geometry score: A method for comparing generative adversarial networks; 2018 ;Generative Adversarial Networks
88;Understanding overparameterization in generative adversarial networks; 2021 ;Generative Adversarial Networks
89;Generative adversarial networks for noise reduction in low-dose CT; 2017 ;Generative Adversarial Networks
90;Prescribed generative adversarial networks; 2019 ;Generative Adversarial Networks
91;Unsupervised and semi-supervised learning with categorical generative adversarial networks; 2015 ;Generative Adversarial Networks
92;Maximum-likelihood augmented discrete generative adversarial networks; 2017 ;Generative Adversarial Networks
93;Imitating driver behavior with generative adversarial networks; 2017 ;Generative Adversarial Networks
94;Autogan: Neural architecture search for generative adversarial networks; 2019 ;Generative Adversarial Networks
95;Generative adversarial networks for hyperspectral image classification; 2018 ;Generative Adversarial Networks
96;Salgan: Visual saliency prediction with generative adversarial networks; 2017 ;Generative Adversarial Networks
97;Image anomaly detection with generative adversarial networks; 2018 ;Generative Adversarial Networks
98;Stabilizing generative adversarial networks: A survey; 2019 ;Generative Adversarial Networks
99;[HTML] Open questions about generative adversarial networks; 2019 ;Generative Adversarial Networks
100;A closer look at the optimization landscapes of generative adversarial networks; 2019 ;Generative Adversarial Networks
101;[HTML] Precomputed real-time texture synthesis with markovian generative adversarial networks; 2016 ;Generative Adversarial Networks
102;Spatial evolutionary generative adversarial networks; 2019 ;Generative Adversarial Networks
103;Deconstructing generative adversarial networks; 2020 ;Generative Adversarial Networks
104;Controllable generative adversarial network; 2019 ;Generative Adversarial Networks
105;Enhancing underwater imagery using generative adversarial networks; 2018 ;Generative Adversarial Networks
106;Medical image synthesis with context-aware generative adversarial networks; 2017 ;Generative Adversarial Networks
107;Stargan: Unified generative adversarial networks for multi-domain image-to-image translation; 2018 ;Generative Adversarial Networks
108;Gan dissection: Visualizing and understanding generative adversarial networks; 2018 ;Generative Adversarial Networks
109;Modeling documents with generative adversarial networks; 2016 ;Generative Adversarial Networks
110;Calibrating energy-based generative adversarial networks; 2017 ;Generative Adversarial Networks
111;Logan: Latent optimisation for generative adversarial networks; 2019 ;Generative Adversarial Networks
112;Applications of generative adversarial networks (gans): An updated review; 2021 ;Generative Adversarial Networks
113;Synthesizing tabular data using generative adversarial networks; 2018 ;Generative Adversarial Networks
114;SSGAN: secure steganography based on generative adversarial networks; 2017 ;Generative Adversarial Networks
115;Synthetic medical images from dual generative adversarial networks; 2017 ;Generative Adversarial Networks
116;An online learning approach to generative adversarial networks; 2017 ;Generative Adversarial Networks
117;Generative adversarial networks (GANs) challenges, solutions, and future directions; 2021 ;Generative Adversarial Networks
118;Binary generative adversarial networks for image retrieval; 2018 ;Generative Adversarial Networks
119;Linear semantics in generative adversarial networks; 2021 ;Generative Adversarial Networks
120;Global and local consistent age generative adversarial networks; 2018 ;Generative Adversarial Networks
121;Generative Adversarial Networks for face generation: A survey; 2022 ;Generative Adversarial Networks
122;A survey on adversarial recommender systems: from attack/defense strategies to generative adversarial networks; 2021 ;Generative Adversarial Networks
123;Photo-realistic single image super-resolution using a generative adversarial network; 2017 ;Generative Adversarial Networks
124;A review of generative adversarial networks and its application in cybersecurity; 2020 ;Generative Adversarial Networks
125;Gan augmentation: Augmenting training data using generative adversarial networks; 2018 ;Generative Adversarial Networks
126;Learning particle physics by example: location-aware generative adversarial networks for physics synthesis; 2017 ;Generative Adversarial Networks
127;Regularizing generative adversarial networks under limited data; 2021 ;Generative Adversarial Networks
128;Finding tiny faces in the wild with generative adversarial network; 2018 ;Generative Adversarial Networks
129;Unsupervised pixel-level domain adaptation with generative adversarial networks; 2017 ;Generative Adversarial Networks
130;Generative adversarial networks: a survey on applications and challenges; 2021 ;Generative Adversarial Networks
131;Idsgan: Generative adversarial networks for attack generation against intrusion detection; 2022 ;Generative Adversarial Networks
132;Texture synthesis with spatial generative adversarial networks; 2016 ;Generative Adversarial Networks
133;Robust conditional generative adversarial networks; 2018 ;Generative Adversarial Networks
134;Loss-sensitive generative adversarial networks on lipschitz densities; 2020 ;Generative Adversarial Networks
135;Free-form diffractive metagrating design based on generative adversarial networks; 2019 ;Generative Adversarial Networks
136;Modeling financial time-series with generative adversarial networks; 2019 ;Generative Adversarial Networks
137;Perceptual generative adversarial networks for small object detection; 2017 ;Generative Adversarial Networks
138;Differentially private generative adversarial network; 2018 ;Generative Adversarial Networks
139;Gradient normalization for generative adversarial networks; 2021 ;Generative Adversarial Networks
140;Multivariate time series imputation with generative adversarial networks; 2018 ;Generative Adversarial Networks
141;Medical image generation using generative adversarial networks: A review; 2021 ;Generative Adversarial Networks
142;Generating synthetic CTs from magnetic resonance images using generative adversarial networks; 2018 ;Generative Adversarial Networks
143;ESRGAN+: Further improving enhanced super-resolution generative adversarial network; 2020 ;Generative Adversarial Networks
144;Generative adversarial networks for data augmentation in machine fault diagnosis; 2019 ;Generative Adversarial Networks
145;Stackgan: Text to photo-realistic image synthesis with stacked generative adversarial networks; 2017 ;Generative Adversarial Networks
146;Semi-supervised learning with context-conditional generative adversarial networks; 2016 ;Generative Adversarial Networks
147;Text-adaptive generative adversarial networks: manipulating images with natural language; 2018 ;Generative Adversarial Networks
148;Improving generative adversarial networks with denoising feature matching; Y Bengio ;Generative Adversarial Networks
149;[HTML] Automatic screening of covid-19 using an optimized generative adversarial network; 2021 ;Generative Adversarial Networks
150;How well generative adversarial networks learn distributions; 2021 ;Generative Adversarial Networks
151;[HTML] The defense of adversarial example with conditional generative adversarial networks; 2020 ;Generative Adversarial Networks
152;Video generative adversarial networks: a review; 2022 ;Generative Adversarial Networks
153;Generalization of convolutional neural networks for ECG classification using generative adversarial networks; 2020 ;Generative Adversarial Networks
154;Experimental quantum generative adversarial networks for image generation; 2021 ;Generative Adversarial Networks
155;Magan: Margin adaptation for generative adversarial networks; 2017 ;Generative Adversarial Networks
156;Thoughtviz: Visualizing human thoughts using generative adversarial network; 2018 ;Generative Adversarial Networks
157;Metropolis-hastings generative adversarial networks; 2019 ;Generative Adversarial Networks
158;Biosignal data augmentation based on generative adversarial networks; 2018 ;Generative Adversarial Networks
159;Review on generative adversarial networks: focusing on computer vision and its applications; 2021 ;Generative Adversarial Networks
160;[HTML] Quantum generative adversarial networks for learning and loading random distributions; 2019 ;Generative Adversarial Networks
161;[PDF] Multi-class generative adversarial networks with the L2 loss function; 2016 ;Generative Adversarial Networks
162;Designing complex architectured materials with generative adversarial networks; 2020 ;Generative Adversarial Networks
163;Incremental classifier learning with generative adversarial networks; 2018 ;Generative Adversarial Networks
164;Deep generative adversarial networks for compressed sensing automates MRI; 2017 ;Generative Adversarial Networks
165;CEGAN: Classification Enhancement Generative Adversarial Networks for unraveling data imbalance problems; 2021 ;Generative Adversarial Networks
166;Agan: Towards automated design of generative adversarial networks; 2019 ;Generative Adversarial Networks
167;Cfgan: A generic collaborative filtering framework based on generative adversarial networks; 2018 ;Generative Adversarial Networks
168;Graphical generative adversarial networks; 2018 ;Generative Adversarial Networks
169;Attngan: Fine-grained text to image generation with attentional generative adversarial networks; 2018 ;Generative Adversarial Networks
170;Generative adversarial networks for image and video synthesis: Algorithms and applications; 2021 ;Generative Adversarial Networks
171;Stock market prediction based on generative adversarial network; 2019 ;Generative Adversarial Networks
172;[HTML] Invisible steganography via generative adversarial networks; 2019 ;Generative Adversarial Networks
173;Interactive 3D modeling with a generative adversarial network; 2017 ;Generative Adversarial Networks
174;Finding anomalies with generative adversarial networks for a patrolbot; 2017 ;Generative Adversarial Networks
175;Anomaly detection with generative adversarial networks for multivariate time series; 2018 ;Generative Adversarial Networks
176;Kdgan: Knowledge distillation with generative adversarial networks; 2018 ;Generative Adversarial Networks
177;Generative adversarial networks for crystal structure prediction; 2020 ;Generative Adversarial Networks
178;Semisupervised hyperspectral image classification based on generative adversarial networks; 2017 ;Generative Adversarial Networks
179;Generating energy data for machine learning with recurrent generative adversarial networks; 2019 ;Generative Adversarial Networks
180;Precise recovery of latent vectors from generative adversarial networks; 2017 ;Generative Adversarial Networks
181;Crystalgan: learning to discover crystallographic structures with generative adversarial networks; 2018 ;Generative Adversarial Networks
182;Generative Adversarial Networks in finance: an overview; 2021 ;Generative Adversarial Networks
183;Deepprivacy: A generative adversarial network for face anonymization; 2019 ;Generative Adversarial Networks
184;Generating images part by part with composite generative adversarial networks; 2016 ;Generative Adversarial Networks
185;Eye in-painting with exemplar generative adversarial networks; 2018 ;Generative Adversarial Networks
186;Generative adversarial network for medical images (MI-GAN); 2018 ;Generative Adversarial Networks
187;Collocating clothes with generative adversarial networks cosupervised by categories and attributes: a multidiscriminator framework; 2019 ;Generative Adversarial Networks
188;FPGAN: Face de-identification method with generative adversarial networks for social robots; 2021 ;Generative Adversarial Networks
189;Generating multi-label discrete patient records using generative adversarial networks; 2017 ;Generative Adversarial Networks
190;TadGAN: Time series anomaly detection using generative adversarial networks; 2020 ;Generative Adversarial Networks
191;Image colorization using generative adversarial networks; 2018 ;Generative Adversarial Networks
192;Using generative adversarial networks for improving classification effectiveness in credit card fraud detection; 2019 ;Generative Adversarial Networks
193;Flow-based network traffic generation using generative adversarial networks; 2019 ;Generative Adversarial Networks
194;FusionGAN: A generative adversarial network for infrared and visible image fusion; 2019 ;Generative Adversarial Networks
195;[HTML] Data augmentation using generative adversarial networks (CycleGAN) to improve generalizability in CT segmentation tasks; 2019 ;Generative Adversarial Networks
196;PiiGAN: generative adversarial networks for pluralistic image inpainting; 2020 ;Generative Adversarial Networks
197;Generalization of deep neural networks for chest pathology classification in x-rays using generative adversarial networks; 2018 ;Generative Adversarial Networks
198;Feedback adversarial learning: Spatial feedback for improving generative adversarial networks; 2019 ;Generative Adversarial Networks
199;EvolGAN: evolutionary generative adversarial networks; 2020 ;Generative Adversarial Networks
200;Alphagan: Generative adversarial networks for natural image matting; 2018 ;Generative Adversarial Networks
201;Skin lesion segmentation via generative adversarial networks with dual discriminators; 2020 ;Generative Adversarial Networks
202;Generative adversarial network for road damage detection; 2021 ;Generative Adversarial Networks
203;D-SRGAN: DEM super-resolution with generative adversarial networks; 2021 ;Generative Adversarial Networks
204;Voice impersonation using generative adversarial networks; 2018 ;Generative Adversarial Networks
205;RecGAN: recurrent generative adversarial networks for recommendation systems; 2018 ;Generative Adversarial Networks
206;Objective-reinforced generative adversarial networks (ORGAN) for sequence generation models; 2017 ;Generative Adversarial Networks
207;Chi-square generative adversarial network; 2018 ;Generative Adversarial Networks
208;St-gan: Spatial transformer generative adversarial networks for image compositing; 2018 ;Generative Adversarial Networks
209;Ciagan: Conditional identity anonymization generative adversarial networks; 2020 ;Generative Adversarial Networks
210;[HTML] The new frontier of AI research: generative adversarial networks; 2018 ;Generative Adversarial Networks
211;3d design using generative adversarial networks and physics-based validation; 2020 ;Generative Adversarial Networks
212;[HTML] Generative adversarial network technologies and applications in computer vision; 2020 ;Generative Adversarial Networks
213;Image blind denoising with generative adversarial network based noise modeling; 2018 ;Generative Adversarial Networks
214;Relgan: Relational generative adversarial networks for text generation; 2018 ;Generative Adversarial Networks
215;Single image dehazing via conditional generative adversarial network; 2018 ;Generative Adversarial Networks
216;Attribute manipulation generative adversarial networks for fashion images; 2019 ;Generative Adversarial Networks
217;Face aging with identity-preserved conditional generative adversarial networks; 2018 ;Generative Adversarial Networks
218;Generative attribute controller with conditional filtered generative adversarial networks; 2017 ;Generative Adversarial Networks
219;Generalization in generative adversarial networks: A novel perspective from privacy protection; 2019 ;Generative Adversarial Networks
220;[HTML] A survey on generative adversarial networks for imbalance problems in computer vision tasks; 2021 ;Generative Adversarial Networks
221;Parallel WaveGAN: A fast waveform generation model based on generative adversarial networks with multi-resolution spectrogram; 2020 ;Generative Adversarial Networks
222;Emotion classification with data augmentation using generative adversarial networks; 2018 ;Generative Adversarial Networks
223;Gaitgan: Invariant gait feature extraction using generative adversarial networks; 2017 ;Generative Adversarial Networks
224;Quantum generative adversarial learning; 2018 ;Generative Adversarial Networks
225;ecommercegan: A generative adversarial network for e-commerce; 2018 ;Generative Adversarial Networks
226;Face transfer with generative adversarial network; 2017 ;Generative Adversarial Networks
227;LHC analysis-specific datasets with Generative Adversarial Networks; 2019 ;Generative Adversarial Networks
228;Patch-based image inpainting with generative adversarial networks; 2018 ;Generative Adversarial Networks
229;Quantum state tomography with conditional generative adversarial networks; 2021 ;Generative Adversarial Networks
230;Msg-gan: Multi-scale gradients for generative adversarial networks; 2020 ;Generative Adversarial Networks
231;Generative adversarial networks for spatio-temporal data: A survey; 2022 ;Generative Adversarial Networks
232;Semi supervised semantic segmentation using generative adversarial network; 2017 ;Generative Adversarial Networks
233;Mode seeking generative adversarial networks for diverse image synthesis; 2019 ;Generative Adversarial Networks
234;PPGAN: Privacy-preserving generative adversarial network; 2019 ;Generative Adversarial Networks
235;Achieving causal fairness through generative adversarial networks; 2019 ;Generative Adversarial Networks
236;Generative adversarial networks for parallel transportation systems; 2018 ;Generative Adversarial Networks
237;MAD-GAN: Multivariate anomaly detection for time series data with generative adversarial networks; 2019 ;Generative Adversarial Networks
238;Improved training of generative adversarial networks using representative features; 2018 ;Generative Adversarial Networks
239;Multimodal MRI synthesis using unified generative adversarial networks; 2020 ;Generative Adversarial Networks
240;Multi-objective training of generative adversarial networks with multiple discriminators; 2019 ;Generative Adversarial Networks
241;Shadow detection with conditional generative adversarial networks; 2017 ;Generative Adversarial Networks
242;Automated treatment planning in radiation therapy using generative adversarial networks; 2018 ;Generative Adversarial Networks
243;Synthesizing electronic health records using improved generative adversarial networks; 2019 ;Generative Adversarial Networks
244;Quantum generative adversarial network for generating discrete distribution; 2020 ;Generative Adversarial Networks
245;Sparse generative adversarial network; 2019 ;Generative Adversarial Networks
246;Style and content disentanglement in generative adversarial networks; 2019 ;Generative Adversarial Networks
247;Training generative adversarial networks by solving ordinary differential equations; 2020 ;Generative Adversarial Networks
248;Statistical guarantees of generative adversarial networks for distribution estimation; 2020 ;Generative Adversarial Networks
249;Skin lesion synthesis with generative adversarial networks; 2018 ;Generative Adversarial Networks
250;Generative adversarial networks for speech processing: A review; 2022 ;Generative Adversarial Networks
251;Conditional generative adversarial network for structured domain adaptation; 2018 ;Generative Adversarial Networks
252;Dm-gan: Dynamic memory generative adversarial networks for text-to-image synthesis; 2019 ;Generative Adversarial Networks
253;Augmenting the size of EEG datasets using generative adversarial networks; 2018 ;Generative Adversarial Networks
254;FEM simulation-based generative adversarial networks to detect bearing faults; 2020 ;Generative Adversarial Networks
255;On self modulation for generative adversarial networks; 2018 ;Generative Adversarial Networks
256;Deformable medical image registration using generative adversarial networks; 2018 ;Generative Adversarial Networks
257;Feature-improving generative adversarial network for face frontalization; 2020 ;Generative Adversarial Networks
258;DAGAN: deep de-aliasing generative adversarial networks for fast compressed sensing MRI reconstruction; 2017 ;Generative Adversarial Networks
259;Model-free renewable scenario generation using generative adversarial networks; 2018 ;Generative Adversarial Networks
260;Guigan: Learning to generate gui designs using generative adversarial networks; 2021 ;Generative Adversarial Networks
261;Ganfit: Generative adversarial network fitting for high fidelity 3d face reconstruction; 2019 ;Generative Adversarial Networks
262;Generative adversarial networks for launching and thwarting adversarial attacks on network intrusion detection systems; 2019 ;Generative Adversarial Networks
263;Unfolding with generative adversarial networks; 2018 ;Generative Adversarial Networks
264;[HTML] Designing nanophotonic structures using conditional deep convolutional generative adversarial networks; 2019 ;Generative Adversarial Networks
265;Md-gan: Multi-discriminator generative adversarial networks for distributed datasets; 2019 ;Generative Adversarial Networks
266;Synthesis of realistic ECG using generative adversarial networks; 2019 ;Generative Adversarial Networks
267;MidiNet: A convolutional generative adversarial network for symbolic-domain music generation; 2017 ;Generative Adversarial Networks
268;Semantically decomposing the latent spaces of generative adversarial networks; 2017 ;Generative Adversarial Networks
269;Qugan: A generative adversarial network through quantum states; 2020 ;Generative Adversarial Networks
270;[HTML] Compressing PDF sets using generative adversarial networks; 2021 ;Generative Adversarial Networks
271;Coevolution of generative adversarial networks; 2019 ;Generative Adversarial Networks
272;Generative adversarial networks for brain lesion detection; 2017 ;Generative Adversarial Networks
273;pi-gan: Periodic implicit generative adversarial networks for 3d-aware image synthesis; 2021 ;Generative Adversarial Networks
